"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000267131",1,0,0,11,27,28,0.0064819115379468,"AC005746.2",7871,NA
"ENSG00000200428",0,0,0,15,11,20,0.00648925314120124,"Y_RNA",7872,NA
"ENSG00000231896",0,0,0,15,11,20,0.00648925314120124,"AC019185.1",7873,NA
"ENSG00000275532",1,0,0,37,16,14,0.00649524331073681,"AC006449.2",7876,NA
"ENSG00000243312",0,0,0,11,13,23,0.00649552123673466,"AC093827.1",7879,NA
"ENSG00000207802",0,0,0,1,54,28,0.00650071317400418,"MIR646",7883,NA
"ENSG00000253039",0,0,0,11,23,13,0.00650509259598595,"RNA5SP47",7885,NA
"ENSG00000211928",0,0,0,50,1,32,0.00653910145759298,"IGHD5-5",7896,NA
"ENSG00000271615",0,0,0,18,13,14,0.00653911610298845,"ACTG1P22",7900,NA
"ENSG00000262837",0,0,0,12,21,13,0.00654632652228906,"AC027801.5",7905,NA
"ENSG00000263675",0,0,0,13,10,25,0.00655128574006352,"MIR5581",7906,NA
"ENSG00000101323",14,2,7,0,1,0,0.00657878069702374,"HAO1",7910,NA
"ENSG00000224271",0,0,0,14,32,7,0.00657878069702374,"AL117329.1",7912,NA
"ENSG00000261527",0,0,0,9,24,15,0.00658241410419692,"AC026464.5",7914,NA
"ENSG00000201724",0,0,0,9,20,18,0.00660457151100237,"Y_RNA",7920,NA
"ENSG00000252473",0,0,0,24,15,9,0.00661432888671337,"AC007684.1",7924,NA
"ENSG00000232455",0,0,0,10,18,18,0.00663122851702926,"LARS2-AS1",7928,NA
"ENSG00000224340",0,0,0,15,18,12,0.00663920046240285,"AL590639.1",7930,NA
"ENSG00000253058",0,0,0,12,18,15,0.00664108508253006,"RNA5SP437",7932,NA
"ENSG00000280311",0,0,0,7,6,54,0.00664864810530432,"AC131212.4",7936,NA
"ENSG00000256481",1,0,1,31,11,42,0.00668133791134226,"AP006333.2",7939,NA
"ENSG00000254689",0,0,0,23,10,14,0.00668776037722059,"LINC02235",7940,NA
"ENSG00000206732",0,0,0,12,19,14,0.00678271648749217,"RNU6-936P",7964,NA
"ENSG00000243314",0,0,0,9,16,22,0.0067857484123298,"AC106707.2",7967,NA
"ENSG00000278816",0,0,0,11,17,17,0.00681612567409806,"AL121890.5",7974,NA
"ENSG00000170961",0,0,0,15,7,29,0.00684092606612944,"HAS2",7978,NA
"ENSG00000220446",0,0,0,11,18,16,0.00684676610870143,"AL121978.1",7982,NA
"ENSG00000264493",0,0,0,11,18,16,0.00684676610870143,"MIR4298",7984,NA
"ENSG00000250068",0,1,0,38,9,23,0.00687825881310667,"AL445187.1",7989,NA
"ENSG00000248256",0,0,0,15,15,14,0.00689468781398417,"OCIAD1-AS1",7994,NA
"ENSG00000188883",0,0,0,21,15,10,0.00689563099027809,"KLRG2",7995,NA
"ENSG00000251485",0,0,0,21,7,21,0.00690988939941261,"NRBF2P6",8002,NA
"ENSG00000253057",0,0,0,24,6,21,0.00693433397985944,"RN7SKP57",8006,NA
"ENSG00000227257",0,0,0,15,11,19,0.00694477184497372,"AL158827.1",8007,NA
"ENSG00000198857",0,0,0,45,10,6,0.00696890244558218,"HSD3BP5",8013,NA
"ENSG00000200742",0,0,0,9,23,15,0.00696949779634595,"Y_RNA",8014,NA
"ENSG00000252481",1,7,13,0,0,0,0.00698397337449967,"SCARNA13",8019,NA
"ENSG00000232352",0,0,0,13,12,20,0.00698600203741886,"SEMA3B-AS1",8021,NA
"ENSG00000259254",0,0,0,7,37,11,0.00699413091886074,"AC022405.1",8031,NA
"ENSG00000253961",1,0,0,30,15,17,0.00702478278316955,"AC009563.1",8037,NA
"ENSG00000206824",0,0,0,13,9,26,0.00706565221744838,"Y_RNA",8045,NA
"ENSG00000260764",0,0,0,13,17,14,0.00706793395470888,"AC007224.1",8047,NA
"ENSG00000235248",0,0,0,23,5,25,0.00707488474366823,"OR13C1P",8052,NA
"ENSG00000230943",0,0,0,19,18,9,0.00709292209405299,"LINC02541",8054,NA
"ENSG00000210112",1,1,1,6,29,80,0.00710008665093237,"MT-TM",8055,NA
"ENSG00000199530",0,0,0,14,27,8,0.00711144051746583,"Y_RNA",8057,NA
