"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000134686",5410,11515,51621,2869,2298,1230,9.94460648855922e-10,"PHC2",219,278
"ENSG00000232442",350,240,356,106,87,70,1.03253809109344e-09,"MHENCR",220,514
"ENSG00000182885",11281,7933,65896,1557,73,132,1.05480177181475e-09,"ADGRG3",221,384
"ENSG00000136205",143,194,307,6671,6230,3443,1.0797866953825e-09,"TNS3",222,17
"ENSG00000263563",47,106,168,19,11,4,1.11709394299828e-09,"UBBP4",223,6214
"ENSG00000100284",5714,3033,6825,1520,1727,692,1.11725375907898e-09,"TOM1",224,283
"ENSG00000132639",76,9,529,0,0,0,1.12368828601533e-09,"SNAP25",225,1181
"ENSG00000168899",292,446,1180,98,163,80,1.14045781259415e-09,"VAMP5",226,154
"ENSG00000008517",2046,3694,712,248,71,30,1.15366075089682e-09,"IL32",227,291
"ENSG00000115523",17927,8408,3288,915,151,70,1.16190673342098e-09,"GNLY",228,801
"ENSG00000178852",16,5,12,771,755,454,1.17107431800716e-09,"EFCAB13",229,231
"ENSG00000170290",111,53,31,0,0,0,1.18617623101964e-09,"SLN",230,330
"ENSG00000185043",1249,1354,2373,598,676,502,1.19171794641977e-09,"CIB1",231,171
"ENSG00000101335",606,486,282,82,44,60,1.20316044043325e-09,"MYL9",232,784
"ENSG00000184445",158,98,147,6089,4995,2859,1.28104186068164e-09,"KNTC1",233,143
"ENSG00000186638",13,10,12,511,737,535,1.33572155580178e-09,"KIF24",234,372
"ENSG00000144407",8,5,16,523,437,632,1.38525543478556e-09,"PTH2R",235,157
"ENSG00000179299",65,219,1887,15,0,5,1.41299114242602e-09,"NSUN7",236,441
"ENSG00000225873",180,279,3084,35,39,45,1.44918910178803e-09,"C3orf86",237,350
"ENSG00000100100",2718,2766,2397,979,538,372,1.50239830434723e-09,"PIK3IP1",238,261
"ENSG00000115165",8672,6037,12830,2654,1870,495,1.60605417190752e-09,"CYTIP",239,303
"ENSG00000182541",4565,3459,23901,1838,938,721,1.63256405594597e-09,"LIMK2",240,483
"ENSG00000152137",24,79,89,2,2,0,1.64486179550068e-09,"HSPB8",241,316
"ENSG00000271270",7,4,26,1017,521,952,1.69792115544921e-09,"TMCC1-AS1",242,195
"ENSG00000160570",2080,1211,4448,723,814,486,1.88128643486836e-09,"DEDD2",243,89
"ENSG00000118495",158,127,245,7624,3745,3706,1.88312727501435e-09,"PLAGL1",244,318
"ENSG00000189430",269,171,143,39,27,9,1.88312727501435e-09,"NCR1",245,1129
"ENSG00000175084",1260,939,669,13,50,0,1.91519561313279e-09,"DES",246,366
"ENSG00000198736",2219,5664,35227,631,1136,270,1.91519561313279e-09,"MSRB1",247,379
"ENSG00000213275",28,30,92,0,0,0,1.91519561313279e-09,"IFITM9P",248,3327
"ENSG00000111247",5,8,8,356,858,413,1.99961890717852e-09,"RAD51AP1",249,299
"ENSG00000181722",42,26,42,2596,1020,1931,2.10137552542506e-09,"ZBTB20",250,61
"ENSG00000158022",41,66,74,9,9,3,2.13300277884304e-09,"TRIM63",251,788
"ENSG00000168878",157,111,140,33,26,8,2.14987476192384e-09,"SFTPB",252,1707
"ENSG00000146414",50,39,70,2514,1211,1458,2.24486326362527e-09,"SHPRH",253,200
"ENSG00000110047",4383,3914,15578,2178,1828,1435,2.53886241830964e-09,"EHD1",254,198
"ENSG00000204525",50859,52639,156819,20989,18054,4470,2.68066163166138e-09,"HLA-C",255,488
"ENSG00000170956",1089,643,2221,80,5,1,2.68827961190128e-09,"CEACAM3",256,540
"ENSG00000170891",13,6,6,2183,439,755,2.69702251383352e-09,"CYTL1",257,423
"ENSG00000135114",442,385,1091,79,100,10,2.74770970041436e-09,"OASL",258,532
"ENSG00000128340",16055,17423,54705,6428,6690,6742,2.76481522984321e-09,"RAC2",259,17
"ENSG00000171916",272,20,145,0,4,1,2.77351435568146e-09,"LGALS9C",260,574
"ENSG00000197540",1225,1358,154,70,9,7,2.80500665826835e-09,"GZMM",261,413
"ENSG00000265713",0,0,0,294,369,181,2.82908571184287e-09,"AC023389.2",262,62
"ENSG00000250802",1,2,4,298,293,192,3.09190279835098e-09,"ZBED3-AS1",263,78
"ENSG00000123329",6305,5392,20056,3533,2277,2008,3.14965733507291e-09,"ARHGAP9",264,402
"ENSG00000059804",87765,18850,62501,6246,9918,2533,3.28557949127181e-09,"SLC2A3",265,393
"ENSG00000184566",0,0,0,459,160,491,3.28557949127181e-09,"AC132216.1",266,127
"ENSG00000126353",821,497,2164,306,120,61,3.30851249348046e-09,"CCR7",267,333
"ENSG00000138778",9,2,31,808,1823,1014,3.3093251016646e-09,"CENPE",268,323
"ENSG00000123700",43,482,1640,39,10,5,3.39145051777158e-09,"KCNJ2",269,485
"ENSG00000278897",1,0,0,557,330,685,3.39145051777158e-09,"AC020951.1",270,131
"ENSG00000105501",192,124,752,31,38,4,3.40926566320966e-09,"SIGLEC5",271,-205
"ENSG00000102837",1196,101,12424,26,0,25,3.45027099756318e-09,"OLFM4",272,565
"ENSG00000105287",4435,3328,3716,1477,1034,871,3.55721836403148e-09,"PRKD2",273,190
"ENSG00000084070",15560,18674,77360,4457,8030,2437,3.64803115908937e-09,"SMAP2",274,386
"ENSG00000153563",1422,3732,475,209,60,42,3.64803115908937e-09,"CD8A",275,410
"ENSG00000229140",3,2,2,112,1182,1854,3.87514589618751e-09,"CCDC26",276,172
"ENSG00000132376",1658,1341,2797,894,858,613,3.91533984549135e-09,"INPP5K",277,37
"ENSG00000172167",10,11,21,698,458,341,3.96069590524215e-09,"MTBP",278,-5
"ENSG00000136824",51,81,83,2224,2988,1885,3.99216780643083e-09,"SMC2",279,148
"ENSG00000137331",198,194,502,52,51,7,4.09772141543737e-09,"IER3",280,24
"ENSG00000160410",6960,9907,38832,3217,3837,1436,4.23880818554522e-09,"SHKBP1",281,645
"ENSG00000137812",34,25,15,1460,2801,1312,4.27674102496917e-09,"KNL1",282,322
"ENSG00000118520",1145,3621,29794,601,90,49,4.29236029924323e-09,"ARG1",283,457
"ENSG00000162551",2545,10822,140627,593,22,3,4.29236029924323e-09,"ALPL",284,593
"ENSG00000140379",438,3758,10229,159,216,267,4.37596569917504e-09,"BCL2A1",285,363
"ENSG00000148344",77,18,147,3,0,2,4.44087179367859e-09,"PTGES",286,87
"ENSG00000134815",5258,2203,6602,1708,1160,781,4.50107430670652e-09,"DHX34",287,470
"ENSG00000287195",18,7,10,1328,1930,373,4.67829716377408e-09,"AC131568.1",288,NA
"ENSG00000146281",92,69,105,4551,2057,2361,4.74741059803156e-09,"PM20D2",289,261
