"rank_change","symbol","rank","padj","gene"
179,"TMCC1-AS1",258,3.22687714328801e-10,"ENSG00000271270"
52,"ZBTB20",259,3.29966513450194e-10,"ENSG00000181722"
561,"MAP2K2",260,3.58313651078885e-10,"ENSG00000126934"
335,"LINC01270",261,3.91526560428261e-10,"ENSG00000203999"
1463,"INSYN2B",262,3.9262901324083e-10,"ENSG00000204767"
389,"ACOT11",263,3.95934759700565e-10,"ENSG00000162390"
-27,"SERF2",264,4.01907903613866e-10,"ENSG00000140264"
163,"MARCKS",265,4.04300846296147e-10,"ENSG00000277443"
290,"TRIM24",266,4.31261237872485e-10,"ENSG00000122779"
749,"MYL9",267,4.52869535476787e-10,"ENSG00000101335"
146,"SYN1",268,4.8022362687432e-10,"ENSG00000008056"
55,"AC023389.2",269,4.8264759551531e-10,"ENSG00000265713"
278,"RAD51AP1",270,4.82706406510755e-10,"ENSG00000111247"
-104,"KLHL11",271,5.05058049383651e-10,"ENSG00000178502"
255,"MAP7D1",272,5.23522579923478e-10,"ENSG00000116871"
705,"ZNF808",273,5.56847380071475e-10,"ENSG00000198482"
904,"ANKRD26",274,6.026433909411e-10,"ENSG00000107890"
234,"BMX",275,6.05410535577731e-10,"ENSG00000102010"
250,"LRRCC1",276,6.14085908904386e-10,"ENSG00000133739"
274,"LPCAT1",277,6.36930376944611e-10,"ENSG00000153395"
133,"AC005072.1",278,6.71264612518967e-10,"ENSG00000272219"
314,"TRADD",279,7.19243423346973e-10,"ENSG00000102871"
401,"CCDC14",280,7.51646074273405e-10,"ENSG00000175455"
269,"PM20D2",281,7.68276088561554e-10,"ENSG00000146281"
-3,"MTCO1P11",282,7.70208795965127e-10,"ENSG00000224083"
601,"CPXM1",283,8.17801324148686e-10,"ENSG00000088882"
1090,"NCR1",284,8.17801324148686e-10,"ENSG00000189430"
231,"DMTN",285,8.85580906177653e-10,"ENSG00000158856"
408,"SLC22A18",286,9.20558508648654e-10,"ENSG00000110628"
470,"DHX34",287,9.5339294895788e-10,"ENSG00000134815"
247,"APOBEC3A",288,1.08125625842936e-09,"ENSG00000128383"
286,"FIGNL1",289,1.08279424144408e-09,"ENSG00000132436"
78,"PUS7",290,1.12772024493603e-09,"ENSG00000091127"
446,"BRCA1",291,1.16164481746842e-09,"ENSG00000012048"
199,"NAV1",292,1.22714536386144e-09,"ENSG00000134369"
245,"CCND3",293,1.25525796152988e-09,"ENSG00000112576"
NA,"FGF13",294,1.25842389814356e-09,"ENSG00000129682"
223,"IL32",295,1.29153047818749e-09,"ENSG00000008517"
NA,"AC000065.1",296,1.54572188476268e-09,"ENSG00000286742"
2013,"ESRP2",297,1.56452346632602e-09,"ENSG00000103067"
368,"ARHGAP9",298,1.56452346632602e-09,"ENSG00000123329"
318,"WAS",299,1.58456746592454e-09,"ENSG00000015285"
197,"PHC2",300,1.58563751095497e-09,"ENSG00000134686"
-34,"AC211433.1",301,1.67518454054009e-09,"ENSG00000232729"
381,"HAGH",302,1.72351739309626e-09,"ENSG00000063854"
420,"LIMK2",303,1.72351739309626e-09,"ENSG00000182541"
226,"SELPLG",304,1.83837050489414e-09,"ENSG00000110876"
284,"TNFSF14",305,1.83933865846646e-09,"ENSG00000125735"
345,"CCDC18",306,1.89990412804164e-09,"ENSG00000122483"
305,"DES",307,1.89990412804164e-09,"ENSG00000175084"
1011,"MYH6",308,1.90050086422833e-09,"ENSG00000197616"
240,"HCAR2",309,1.92149197015576e-09,"ENSG00000182782"
337,"SBNO2",310,1.94763573189374e-09,"ENSG00000064932"
951,"IGFN1",311,1.94763573189374e-09,"ENSG00000163395"
251,"TMTC4",312,2.03203232393184e-09,"ENSG00000125247"
229,"CYTIP",313,2.05555178106558e-09,"ENSG00000115165"
408,"FANCM",314,2.15032774115437e-09,"ENSG00000187790"
86,"AC020951.1",315,2.20339513605241e-09,"ENSG00000278897"
141,"KIAA1522",316,2.2040876206667e-09,"ENSG00000162522"
76,"AC132216.1",317,2.2660172016279e-09,"ENSG00000184566"
455,"DPY19L4",318,2.5974529571733e-09,"ENSG00000156162"
102,"GSTCD",319,2.67809302418013e-09,"ENSG00000138780"
219,"PPP1R18",320,2.67957374040627e-09,"ENSG00000146112"
300,"G6PD",321,2.73719526141564e-09,"ENSG00000160211"
1768,"KLHDC1",322,2.73719526141564e-09,"ENSG00000197776"
NA,"AP000331.1",323,2.73719526141564e-09,"ENSG00000286153"
712,"PPP4C",324,2.79676637106385e-09,"ENSG00000149923"
601,"SHKBP1",325,3.1056140086831e-09,"ENSG00000160410"
1394,"SRL",326,3.21058593841447e-09,"ENSG00000185739"
1826,"CICP27",327,3.22743748176723e-09,"ENSG00000233750"
6,"PTPN14",328,3.24756028229603e-09,"ENSG00000152104"
1353,"SPDYE3",329,3.28251395623383e-09,"ENSG00000214300"
274,"KNL1",330,3.43918074492764e-09,"ENSG00000137812"
73,"AC010997.6",331,3.44092043071189e-09,"ENSG00000279814"
277,"PSME1",332,3.46450918639783e-09,"ENSG00000092010"
405,"IGSF10",333,3.49350373189269e-09,"ENSG00000152580"
32,"WT1",334,3.52823018896399e-09,"ENSG00000184937"
105,"BORCS6",335,3.52823018896399e-09,"ENSG00000196544"
55,"STIL",336,3.54016561108311e-09,"ENSG00000123473"
433,"MYSM1",337,3.76365498972191e-09,"ENSG00000162601"
352,"FIS1",338,3.78550062372239e-09,"ENSG00000214253"
-134,"AC011405.1",339,3.78723464370979e-09,"ENSG00000249593"
308,"BCL2A1",340,3.93233941453278e-09,"ENSG00000140379"
247,"BPGM",341,3.93233941453278e-09,"ENSG00000172331"
205,"LRP10",342,3.93233941453278e-09,"ENSG00000197324"
198,"RHOG",343,4.01388868860596e-09,"ENSG00000177105"
134,"HSD11B1",344,4.04495398602158e-09,"ENSG00000117594"
383,"MBLAC2",345,4.11360058405957e-09,"ENSG00000176055"
380,"MIB1",346,4.26611349275876e-09,"ENSG00000101752"
378,"CREM",347,4.28810951905164e-09,"ENSG00000095794"
253,"H19",348,4.29732261256393e-09,"ENSG00000130600"
273,"ZFP36L1",349,4.35785086451218e-09,"ENSG00000185650"
754,"BMS1P1",350,4.35785086451218e-09,"ENSG00000204177"
346,"TFE3",351,4.51449271999227e-09,"ENSG00000068323"
248,"CCR7",352,4.52674847022636e-09,"ENSG00000126353"
-72,"AC092279.1",353,4.6196872127817e-09,"ENSG00000268362"
389,"HLA-C",354,4.68392374464128e-09,"ENSG00000204525"
199,"MVP",355,4.82408222313084e-09,"ENSG00000013364"
249,"ADGRG3",356,4.8334612490841e-09,"ENSG00000182885"
528,"UBXN1",357,4.9168382070248e-09,"ENSG00000162191"
1058,"RTN1",358,4.9372598865471e-09,"ENSG00000139970"
219,"RBM41",359,5.00807078894814e-09,"ENSG00000089682"
50,"PHACTR2-AS1",360,5.05262070101966e-09,"ENSG00000235740"
299,"SMAP2",361,5.07113051562097e-09,"ENSG00000084070"
345,"PAICS",362,5.07113051562097e-09,"ENSG00000128050"
282,"C4BPA",363,5.3055106745501e-09,"ENSG00000123838"
227,"CENPE",364,5.31426594285699e-09,"ENSG00000138778"
349,"TSSC4",365,5.31426594285699e-09,"ENSG00000184281"
806,"AC005392.2",366,5.31426594285699e-09,"ENSG00000231412"
467,"LGALS9C",367,5.48422098786332e-09,"ENSG00000171916"
306,"GZMM",368,5.51160765321088e-09,"ENSG00000197540"
606,"WASH8P",369,5.55416509871971e-09,"ENSG00000226210"
765,"CHML",370,5.60063162798559e-09,"ENSG00000203668"
488,"MAP1LC3A",371,5.67389021790771e-09,"ENSG00000101460"
241,"SERTAD3",372,5.67389021790771e-09,"ENSG00000167565"
307,"CYTL1",373,5.67389021790771e-09,"ENSG00000170891"
NA,"AL008730.1",374,5.67389021790771e-09,"ENSG00000286616"
325,"SLC16A3",375,5.6828857496594e-09,"ENSG00000141526"
282,"SLC2A3",376,5.80452785298997e-09,"ENSG00000059804"
6,"ADGRA3",377,5.81228658282346e-09,"ENSG00000152990"
183,"MME",378,5.83344938219569e-09,"ENSG00000196549"
677,"PTPRN",379,6.00386749304822e-09,"ENSG00000054356"
485,"C12orf45",380,6.14010219931645e-09,"ENSG00000151131"
2084,"FTH1P20",381,6.20312407210344e-09,"ENSG00000226564"
85,"SH3BGRL3",382,6.24306331330841e-09,"ENSG00000142669"
189,"GNG11",383,6.28691251859733e-09,"ENSG00000127920"
64,"CCDC26",384,6.28691251859733e-09,"ENSG00000229140"
-379,"RNASEK",385,6.40643537607555e-09,"ENSG00000219200"
424,"CXCL5",386,6.51852385479988e-09,"ENSG00000163735"
-222,"FIRRE",387,6.51852385479988e-09,"ENSG00000213468"
559,"ZZZ3",388,6.57402076071382e-09,"ENSG00000036549"
237,"MSRB1",389,6.64807488949227e-09,"ENSG00000198736"
2913,"GINS1",390,6.72295162618712e-09,"ENSG00000101003"
304,"SEC14L1",391,6.72295162618712e-09,"ENSG00000129657"
639,"SLC26A2",392,6.76192731103039e-09,"ENSG00000155850"
225,"MPZL3",393,6.80263340353062e-09,"ENSG00000160588"
-77,"MIR133A1HG",394,6.80263340353062e-09,"ENSG00000265142"
52,"SCARNA7",395,7.26669478477719e-09,"ENSG00000238741"
560,"LINC01002",396,7.35251487098258e-09,"ENSG00000282508"
252,"IGF2BP2-AS1",397,7.45887015180399e-09,"ENSG00000163915"
NA,"AC092645.2",398,7.52338565358461e-09,"ENSG00000286545"
-115,"GMDS-DT",399,7.57306215990608e-09,"ENSG00000250903"
776,"CBX5",400,7.72405598821586e-09,"ENSG00000094916"
276,"NSUN7",401,7.7759990205932e-09,"ENSG00000179299"
NA,"AC131568.1",402,7.7759990205932e-09,"ENSG00000287195"
644,"NAMPTP1",403,7.84039191580694e-09,"ENSG00000229644"
NA,"AC001226.2",404,7.84039191580694e-09,"ENSG00000283208"
848,"KCNQ5",405,8.00324830558878e-09,"ENSG00000185760"
180,"NCAPG",406,8.17913671506669e-09,"ENSG00000109805"
35,"NCK1-DT",407,8.19986947559762e-09,"ENSG00000239213"
621,"GNLY",408,8.21073322538976e-09,"ENSG00000115523"
225,"CD177P1",409,8.28471662759289e-09,"ENSG00000204933"
991,"RCAN2",410,8.4235083245817e-09,"ENSG00000172348"
-191,"SNHG4",411,8.4833901576748e-09,"ENSG00000281398"
328,"ARG1",412,8.82034639052101e-09,"ENSG00000118520"
311,"SLC45A4",413,9.21353850026212e-09,"ENSG00000022567"
317,"REV3L",414,9.9254623781565e-09,"ENSG00000009413"
172,"C3orf86",415,9.92735556541151e-09,"ENSG00000225873"
117,"BAALC-AS1",416,9.96536600817672e-09,"ENSG00000247081"
250,"TICRR",417,1.03303101940669e-08,"ENSG00000140534"
55,"KCNQ5-AS1",418,1.04886309508401e-08,"ENSG00000229154"
