"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000137133",142,187,190,4,13,7,4.0625862709048e-14,"HINT2",208,25361
"ENSG00000263647",160,104,573,0,0,0,4.48059415678127e-14,"BPTFP1",209,NA
"ENSG00000211596",136,104,266,0,0,0,4.58230587160214e-14,"IGKJ2",210,NA
"ENSG00000135924",4009,2058,3430,369,400,300,4.65860626625855e-14,"DNAJB2",211,-145
"ENSG00000099977",181,224,656,0,0,1,5.43288496806173e-14,"DDT",212,NA
"ENSG00000268903",808,794,4839,9,51,9,5.48260497907924e-14,"AL627309.6",213,-179
"ENSG00000281991",142,192,562,1,1,0,6.82302413881455e-14,"TMEM265",214,NA
"ENSG00000111245",888,391,305,0,0,1,7.05447775094027e-14,"MYL2",215,-166
"ENSG00000132471",15268,7263,26058,1896,2225,1442,7.05447775094027e-14,"WBP2",216,-142
"ENSG00000189067",29022,24395,148387,4237,2720,3470,8.11251516928874e-14,"LITAF",217,-117
"ENSG00000100092",2737,2981,2999,505,458,324,8.87263868237996e-14,"SH3BP1",218,1950
"ENSG00000243749",145,331,965,1,0,0,9.587652041274e-14,"TMEM35B",219,NA
"ENSG00000281398",11,4,3,1554,842,817,9.61194259945706e-14,"SNHG4",220,191
"ENSG00000257949",215,329,475,14,1,11,1.16584275866961e-13,"TEN1",221,NA
"ENSG00000213780",205,147,226,9,9,1,1.26684396612309e-13,"GTF2H4",222,NA
"ENSG00000134668",237,102,153,1,4,4,1.38065386780149e-13,"SPOCD1",223,-119
"ENSG00000258315",149,157,391,30,31,36,1.45144644506291e-13,"C17orf49",224,22316
"ENSG00000229833",235,525,951,49,40,61,1.80778216075189e-13,"PET100",225,6639
"ENSG00000284024",21,11,16,774,802,1143,2.07343675601625e-13,"AC069544.2",226,10476
"ENSG00000204592",86562,92738,235855,19601,22165,10030,2.21839292642764e-13,"HLA-E",227,-116
"ENSG00000173110",15758,2601,14960,22,113,3,2.33070774480398e-13,"HSPA6",228,-121
"ENSG00000196312",141,75,294,4705,4788,4054,2.3933822430401e-13,"MFSD14C",229,3539
"ENSG00000070495",2940,2969,7979,942,777,947,2.41665051334183e-13,"JMJD6",230,-170
